filename,dapi_ssim,panck_ssim,cd3_ssim,average_ssim,dapi_pearson,panck_pearson,cd3_pearson,average_pearson,dapi_psnr,panck_psnr,cd3_psnr,average_psnr
"[10382,50252]_patch_0_0",0.5824,0.4097,0.6771,0.5564,0.7237,0.1253,0.9394,0.5961,12.52,9.16,19.14,13.61
"[10382,50252]_patch_0_1",0.6009,0.4716,0.8131,0.6285,0.6656,0.1813,0.9485,0.5985,12.59,9.55,19.73,13.96
"[10382,50252]_patch_0_2",0.3942,0.2144,0.6882,0.4323,0.4582,0.0886,0.9422,0.4963,11.99,16.26,18.11,15.45
"[10382,50252]_patch_0_3",0.3071,0.8084,0.6630,0.5928,0.4212,0.2673,0.9248,0.5378,11.63,21.48,14.69,15.93
"[10382,50252]_patch_0_4",0.3199,0.1140,0.6660,0.3666,0.5554,0.1805,0.9258,0.5539,12.18,17.23,14.77,14.73
"[10382,50252]_patch_0_5",0.2801,0.0832,0.6991,0.3541,0.4936,0.1590,0.9348,0.5292,12.28,16.19,16.26,14.91
"[10382,50252]_patch_0_6",0.1906,0.0283,0.7077,0.3089,0.5579,0.0850,0.9343,0.5257,10.95,14.43,17.62,14.33
"[10382,50252]_patch_0_7",0.2850,0.0532,0.6821,0.3401,0.7132,0.1290,0.9192,0.5871,14.42,15.31,18.28,16.00
"[10382,50252]_patch_0_8",0.4643,0.7721,0.6711,0.6358,0.7787,0.2465,0.9229,0.6494,13.17,21.06,17.28,17.17
"[10382,50252]_patch_1_0",0.5920,0.4653,0.6620,0.5731,0.7714,0.1667,0.9444,0.6275,12.90,18.58,18.58,16.69
"[10382,50252]_patch_1_1",0.6247,0.5074,0.6813,0.6045,0.6169,0.1883,0.9570,0.5874,12.85,10.00,21.21,14.69
"[10382,50252]_patch_1_2",0.3954,0.1968,0.7079,0.4334,0.3610,0.1031,0.9461,0.4701,10.72,16.85,18.69,15.42
"[10382,50252]_patch_1_3",0.0998,0.0146,0.6757,0.2634,0.1714,0.0899,0.9288,0.3967,12.74,8.63,16.12,12.50
"[10382,50252]_patch_1_4",0.2823,0.1217,0.6789,0.3610,0.4988,0.0981,0.9324,0.5097,9.95,18.24,16.08,14.76
"[10382,50252]_patch_1_5",0.2413,0.0381,0.6896,0.3230,0.5705,0.0926,0.9283,0.5305,12.09,15.42,17.22,14.91
"[10382,50252]_patch_1_6",0.1092,0.1654,0.6934,0.3227,0.4799,0.0887,0.9153,0.4947,11.67,10.35,17.81,13.27
"[10382,50252]_patch_1_7",0.2062,0.0166,0.6622,0.2950,0.6568,0.1061,0.9068,0.5566,11.17,13.84,16.28,13.76
"[10382,50252]_patch_1_8",0.4850,0.6924,0.6610,0.6128,0.7842,0.2713,0.9145,0.6567,12.70,18.56,16.93,16.06
"[10382,50252]_patch_2_0",0.3677,0.7711,0.7244,0.6211,0.5436,0.1913,0.9459,0.5603,14.56,21.04,20.35,18.65
"[10382,50252]_patch_2_1",0.4831,0.3951,0.7002,0.5261,0.4770,0.1620,0.9593,0.5328,12.85,10.74,21.00,14.86
"[10382,50252]_patch_2_2",0.5129,0.3367,0.6735,0.5077,0.5318,0.1456,0.9502,0.5425,10.22,8.06,19.59,12.62
"[10382,50252]_patch_2_3",0.3226,0.9491,0.6642,0.6453,0.2078,0.1633,0.9361,0.4357,10.93,24.78,17.54,17.75
"[10382,50252]_patch_2_4",0.2844,0.8946,0.6861,0.6217,0.4540,0.0591,0.9286,0.4806,12.99,22.58,18.86,18.14
"[10382,50252]_patch_2_5",0.1711,0.2411,0.6667,0.3596,0.4808,0.0748,0.9336,0.4964,12.76,11.56,19.98,14.77
"[10382,50252]_patch_2_6",0.1717,0.0238,0.6633,0.2863,0.6012,0.0538,0.9112,0.5221,12.30,9.79,18.13,13.41
