filename,dapi_ssim,panck_ssim,cd3_ssim,average_ssim,dapi_pearson,panck_pearson,cd3_pearson,average_pearson,dapi_psnr,panck_psnr,cd3_psnr,average_psnr
"[10382,50252]_patch_0_0",0.4855,0.9242,0.8764,0.7621,0.8315,0.6008,0.9765,0.8029,20.65,25.33,26.84,24.27
"[10382,50252]_patch_0_1",0.3746,0.9290,0.8994,0.7343,0.8503,0.7451,0.9792,0.8582,20.57,26.72,27.26,24.85
"[10382,50252]_patch_0_2",0.4241,0.9184,0.8313,0.7246,0.7306,0.6776,0.9749,0.7944,17.90,26.48,25.16,23.18
"[10382,50252]_patch_0_3",0.4891,0.9167,0.8125,0.7394,0.6903,0.5073,0.9687,0.7221,15.90,24.57,25.58,22.02
"[10382,50252]_patch_0_4",0.5364,0.9177,0.8135,0.7559,0.6927,0.5679,0.9689,0.7432,18.74,24.44,25.28,22.82
"[10382,50252]_patch_0_5",0.5423,0.9291,0.8119,0.7611,0.6363,0.6982,0.9717,0.7688,18.25,26.08,24.59,22.97
"[10382,50252]_patch_0_6",0.6882,0.8915,0.8186,0.7994,0.7122,0.6679,0.9724,0.7841,19.39,24.05,24.80,22.75
"[10382,50252]_patch_0_7",0.8009,0.8656,0.8225,0.8297,0.8252,0.6705,0.9696,0.8218,23.16,22.86,25.37,23.80
"[10382,50252]_patch_0_8",0.7869,0.9035,0.8301,0.8402,0.8443,0.6633,0.9692,0.8256,22.14,24.12,26.37,24.21
"[10382,50252]_patch_1_0",0.5212,0.9184,0.8811,0.7736,0.8203,0.5513,0.9767,0.7828,20.94,25.67,27.50,24.70
"[10382,50252]_patch_1_1",0.3400,0.9364,0.9054,0.7273,0.7849,0.6853,0.9791,0.8164,19.50,27.72,27.67,24.96
"[10382,50252]_patch_1_2",0.3753,0.9214,0.8348,0.7105,0.6358,0.5964,0.9735,0.7352,17.09,26.54,25.71,23.12
"[10382,50252]_patch_1_3",0.3801,0.9402,0.7934,0.7045,0.5729,0.4047,0.9672,0.6483,14.79,26.09,25.06,21.98
"[10382,50252]_patch_1_4",0.4544,0.9347,0.8021,0.7304,0.7013,0.5552,0.9685,0.7416,18.05,25.85,25.39,23.10
"[10382,50252]_patch_1_5",0.6304,0.9340,0.8259,0.7967,0.7708,0.6859,0.9710,0.8092,21.07,26.29,25.75,24.37
"[10382,50252]_patch_1_6",0.8119,0.9066,0.8272,0.8486,0.8119,0.6556,0.9703,0.8126,22.84,24.52,25.58,24.31
"[10382,50252]_patch_1_7",0.7634,0.8695,0.8192,0.8174,0.8414,0.6425,0.9645,0.8161,22.03,23.33,26.42,23.93
"[10382,50252]_patch_1_8",0.7506,0.8764,0.8222,0.8164,0.8311,0.6083,0.9660,0.8018,21.18,23.13,26.75,23.69
"[10382,50252]_patch_2_0",0.6050,0.8872,0.8381,0.7767,0.7240,0.5075,0.9761,0.7358,20.92,24.00,24.97,23.29
"[10382,50252]_patch_2_1",0.3941,0.9433,0.8892,0.7422,0.6973,0.4693,0.9820,0.7162,20.60,28.08,26.06,24.92
"[10382,50252]_patch_2_2",0.3868,0.9591,0.8612,0.7357,0.6919,0.3956,0.9759,0.6878,19.58,28.26,26.10,24.64
"[10382,50252]_patch_2_3",0.3595,0.9491,0.7886,0.6990,0.5961,0.3345,0.9677,0.6328,15.74,27.83,24.64,22.74
"[10382,50252]_patch_2_4",0.4614,0.9040,0.8070,0.7241,0.6802,0.5548,0.9680,0.7343,17.41,25.95,26.09,23.15
"[10382,50252]_patch_2_5",0.6752,0.9010,0.8302,0.8022,0.8187,0.6385,0.9695,0.8089,23.22,24.52,26.36,24.70
"[10382,50252]_patch_2_6",0.7260,0.9271,0.8230,0.8253,0.8196,0.5965,0.9683,0.7948,22.42,25.48,26.24,24.71
"[10382,50252]_patch_2_7",0.7174,0.9068,0.8211,0.8151,0.8214,0.5438,0.9684,0.7778,21.22,24.40,26.61,24.08
"[10382,50252]_patch_2_8",0.8512,0.8826,0.8342,0.8560,0.8749,0.5776,0.9718,0.8081,23.60,23.10,26.09,24.26
"[10382,50252]_patch_3_0",0.6395,0.8819,0.8093,0.7769,0.7151,0.5356,0.9725,0.7411,20.79,24.16,24.32,23.09
"[10382,50252]_patch_3_1",0.4754,0.9169,0.8355,0.7426,0.6994,0.4216,0.9765,0.6992,20.60,26.64,25.21,24.15
